Date,Close,High,Low,Open,Volume
2019-12-11,24.66841888,24.66841888,24.66841888,24.66841888,38289394.0
2019-12-12,25.78971863,27.12125277,25.22907208,27.12125277,505692621.0
2019-12-15,26.21019936,26.28028077,25.7897157,25.99995834,98349281.0
2019-12-16,26.63068771,26.70076752,26.28028382,26.28028382,105973907.0
2019-12-17,26.4554863,26.73580877,26.28028435,26.66572734,142672245.0
2019-12-18,25.71963692,26.35036488,25.71963692,26.28028346,83822621.0
2019-12-19,24.87866592,25.75467557,24.87866592,25.71963486,108120197.0
2019-12-22,24.73850632,25.01882878,24.45818386,24.94874897,39709972.0
2019-12-23,24.94875336,24.98379246,24.70346995,24.73851067,35098090.0
2019-12-24,24.80858803,25.01882907,24.7385066,24.98378835,22184338.0
2019-12-25,24.66841888,24.8085817,24.5983391,24.8085817,13572736.0
2019-12-26,24.77354813,24.77354813,24.56330546,24.63338527,13863242.0
2019-12-29,24.80858803,25.01882907,24.7385066,24.7385066,22966690.0
2019-12-30,24.6333828,24.84362544,24.6333828,24.80858635,13147121.0
2019-12-31,24.70346451,24.70346451,24.56330328,24.63338309,16332772.0
2020-01-01,24.59834862,24.70346915,24.5633079,24.70346915,8517342.0
2020-01-02,24.6333828,24.70346422,24.563303,24.5983437,11430744.0
2020-01-05,24.21289825,24.5282614,24.17785755,24.5282614,25239125.0
2020-01-06,24.17786026,24.21290097,23.86249708,24.17786026,23401835.0
2020-01-07,24.07273865,24.21289987,23.93257742,24.14281845,13923075.0
2020-01-08,23.96761322,23.96761322,23.82745201,23.82745201,22150479.0
2020-01-09,24.528265,24.56330571,24.03769986,24.07274057,31310879.0
2020-01-12,24.38810349,24.63338524,24.21290154,24.52826472,24584632.0
2020-01-13,24.35306358,24.52826554,24.31802287,24.3881043,16978173.0
2020-01-14,24.4231472,24.4231472,24.10778398,24.35306577,12477898.0
2020-01-15,24.31801796,24.38809937,24.24793816,24.38809937,12987230.0
2020-01-16,24.24794388,24.31802369,24.17786245,24.31802369,11523975.0
2020-01-19,24.07273865,24.24794058,24.00265723,24.24794058,13254735.0
2020-01-20,24.24794388,24.24794388,23.96761977,24.0377012,8756076.0
2020-01-21,24.21289825,24.24793896,24.07273704,24.17785755,8517485.0
2020-01-22,24.14281845,24.17785916,24.07273865,24.14281845,6215751.0
2020-01-23,24.14281845,24.14281845,24.00265723,24.10777936,7192433.0
2020-01-26,24.03770256,24.07274328,23.86250059,23.96762113,9257143.0
2020-01-27,24.00265884,24.00265884,23.86249761,24.00265884,8758776.0
2020-01-28,24.00265884,24.00265884,23.86249761,23.96761813,8813615.0
2020-01-29,24.10778046,24.10778046,23.86249709,23.8975378,10761242.0
2020-01-30,23.93257713,24.10777907,23.93257713,24.10777907,6889782.0
2020-02-02,23.79241943,23.89753996,23.722338,23.89753996,13991469.0
2020-02-03,23.79241943,23.82745853,23.68729729,23.722338,10062499.0
2020-02-04,23.72233391,23.82745442,23.65225249,23.757373,9112708.0
2020-02-05,23.5821743,23.79241696,23.54713359,23.68729482,11068032.0
2020-02-06,23.40697289,23.65225464,23.33689146,23.58217483,11614195.0
2020-02-09,23.86249733,23.86249733,22.9864876,23.3719322,21426588.0
2020-02-10,23.54713249,23.79241585,23.51209178,23.79241585,7540306.0
2020-02-11,23.44201469,23.58217593,23.37193327,23.51209451,5120739.0
2020-02-12,23.26681519,23.44201716,23.23177447,23.40697644,7201967.0
2020-02-13,23.19673157,23.33689281,22.84632765,23.266813,18688399.0
2020-02-16,23.19673157,23.19673157,23.19673157,23.19673157,0.0
2020-02-17,23.19673157,23.266813,22.95144818,22.9864889,9483416.0
2020-02-18,23.26681519,23.336895,23.05657249,23.16169303,6499644.0
2020-02-19,23.40697289,23.40697289,23.23177094,23.26681165,5894103.0
2020-02-20,23.5821743,23.6172134,23.33689094,23.40697236,8693188.0
2020-02-23,23.86249733,23.93257876,23.47705272,23.68729538,13747169.0
2020-02-24,23.40697289,23.79241749,23.30185075,23.79241749,10156974.0
