Date,Close,High,Low,Open,Volume
2010-01-04,6.440330982,6.455076781,6.391278499,6.422876697,493729600.0
2010-01-05,6.451464176,6.487877451,6.417458042,6.458084918,601904800.0
2010-01-06,6.348847866,6.47704674,6.342227122,6.451466993,552160000.0
2010-01-07,6.337109566,6.379843052,6.291066512,6.37231948,477131200.0
2010-01-08,6.379240036,6.379842323,6.29136754,6.328682845,447610800.0
2010-01-11,6.322967052,6.40993714,6.273011334,6.403918282,462229600.0
2010-01-12,6.251040936,6.312733411,6.211919574,6.295278326,594459600.0
2010-01-13,6.33921814,6.347644543,6.14210572,6.255558808,605892000.0
2010-01-14,6.302503109,6.333499827,6.290164851,6.322967227,432894000.0
2010-01-15,6.19717598,6.367807006,6.195370322,6.34764383,594067600.0
2010-01-19,6.471328259,6.475842402,6.236598809,6.269400382,730007600.0
2010-01-20,6.37171936,6.486676348,6.304610291,6.467416402,612152800.0
2010-01-21,6.261574745,6.419265602,6.235694461,6.382250833,608154400.0
2010-01-22,5.951009274,6.244421752,5.933254447,6.222754669,881767600.0
2010-01-25,6.111107826,6.160159913,6.024438277,6.094255425,1065699600.0
2010-01-26,6.197476864,6.431304297,6.09636245,6.197777807,1867110000.0
2010-01-27,6.255856991,6.33710915,6.004574932,6.224860279,1722568400.0
2010-01-28,5.997350693,6.184232124,5.979595874,6.167079191,1173502400.0
2010-01-29,5.779776573,6.084925813,5.725307119,6.051221015,1245952400.0
2010-02-01,5.860124588,5.898343518,5.756903625,5.789103699,749876400.0
2010-02-02,5.894132137,5.90797551,5.819500313,5.895637253,698342400.0
2010-02-03,5.995549202,6.024740267,5.850798852,5.873369172,615328000.0
2010-02-04,5.779475212,5.969666257,5.765029956,5.920312437,757652000.0
2010-02-05,5.882093906,5.89834482,5.743362468,5.796929491,850306800.0
2010-02-08,5.841768742,5.954920841,5.838157427,5.889015965,478270800.0
2010-02-09,5.904063702,5.943486016,5.860728728,5.910984986,632886800.0
2010-02-10,5.871862888,5.916402033,5.845982604,5.895034687,370361600.0
2010-02-11,5.978693485,6.011194905,5.839962071,5.864638979,550345600.0
2010-02-12,6.030156136,6.068074138,5.883299212,5.961843301,655468800.0
2010-02-16,6.121038437,6.129765379,6.06446238,6.077101579,543737600.0
2010-02-17,6.095457077,6.1484214,6.044598148,6.144810086,436396800.0
2010-02-18,6.106894016,6.135784131,6.046405703,6.067771844,422825200.0
2010-02-19,6.068977833,6.115021303,6.052125428,6.074696151,415469600.0
